scraped_at,station_eva,station_name,trip_id,train_name,train_type,planned_departure,actual_departure,dep_delay_min,planned_arrival,actual_arrival,arr_delay_min,planned_platform,actual_platform,planned_path,changed_path,cancelled,messages
2026-05-27T00:11:37Z,8000105,Frankfurt(Main)Hbf,-5851721557238592488-2605262101-11,NJ 403,NJ,2026-05-27T03:14,2026-05-27T04:45,91.0,2026-05-27T02:54,2026-05-27T04:33,99.0,19,,Mannheim Hbf|Karlsruhe Hbf|Baden-Baden|Offenburg|Freiburg(Breisgau) Hbf|Basel Bad Bf|Basel SBB|Zürich HB,,False,
2026-05-27T00:11:37Z,8000105,Frankfurt(Main)Hbf,7582314568044505717-2605262101-11,IC 60403,IC,2026-05-27T03:14,2026-05-27T04:45,91.0,2026-05-27T02:54,2026-05-27T04:33,99.0,19,,Mannheim Hbf|Karlsruhe Hbf|Baden-Baden|Offenburg|Freiburg(Breisgau) Hbf|Basel Bad Bf|Basel SBB|Zürich HB,,False,h; h
2026-05-27T00:11:37Z,8000105,Frankfurt(Main)Hbf,-2896329097575848328-2605261913-14,ICE 619,ICE,2026-05-27T02:50,2026-05-27T04:04,74.0,2026-05-27T02:39,2026-05-27T03:58,79.0,3,,Mannheim Hbf|Heidelberg Hbf|Stuttgart Hbf|Ulm Hbf|Günzburg|Augsburg Hbf|München-Pasing|München Hbf,Mannheim Hbf|Stuttgart Hbf|Ulm Hbf|Günzburg|Augsburg Hbf|München-Pasing|München Hbf,False,h
2026-05-27T00:11:37Z,8000105,Frankfurt(Main)Hbf,-7363861252398759561-2605262118-9,ICE 699,ICE,2026-05-27T02:25,2026-05-27T02:25,0.0,2026-05-27T02:11,2026-05-27T02:20,9.0,8,,Frankfurt(M) Flughafen Fernbf|Mannheim Hbf|Heidelberg Hbf|Stuttgart Hbf|Ulm Hbf|Günzburg|Augsburg Hbf|München-Pasing|München Hbf,,False,
2026-05-27T00:11:37Z,8000105,Frankfurt(Main)Hbf,8868050453695511606-2605262159-9,NJ 402,NJ,2026-05-27T03:11,2026-05-27T03:11,0.0,2026-05-27T02:42,2026-05-27T02:37,-5.0,18,,Koblenz Hbf|Bonn Hbf|Köln Hbf|Düsseldorf Hbf|Duisburg Hbf|Oberhausen Hbf|Arnhem Centraal|Utrecht Centraal|Amsterdam Centraal,,False,
2026-05-27T00:11:37Z,8000105,Frankfurt(Main)Hbf,4753870957390372842-2605262159-9,IC 60402,IC,2026-05-27T03:11,2026-05-27T03:11,0.0,2026-05-27T02:42,2026-05-27T02:37,-5.0,18,,Koblenz Hbf|Bonn Hbf|Köln Hbf|Düsseldorf Hbf|Duisburg Hbf|Oberhausen Hbf|Arnhem Centraal|Utrecht Centraal|Amsterdam Centraal,,False,h
2026-05-27T00:11:37Z,8000105,Frankfurt(Main)Hbf,7108274583246193747-2605262246-9,ICE 698,ICE,2026-05-27T03:49,2026-05-27T04:09,20.0,2026-05-27T03:38,2026-05-27T04:04,26.0,8,,Eisenach Hbf|Erfurt Hbf|Halle(Saale)Hbf|Bitterfeld|Lutherstadt Wittenberg Hbf|Berlin Südkreuz|Berlin Hbf|Berlin Gesundbrunnen,,False,
2026-05-27T00:11:37Z,8000105,Frankfurt(Main)Hbf,3242718664219441516-2605270358-1,S 35703,S,2026-05-27T03:58,2026-05-27T03:58,,,,,18,,Frankfurt-Niederrad|Frankfurt am Main - Stadion|Zeppelinheim|Walldorf(Hess)|Mörfelden|Groß Gerau-Dornberg|Groß Gerau-Dornheim|Riedstadt-Wolfskehlen|Riedstadt-Goddelau,,False,
2026-05-27T00:11:37Z,8011160,Berlin Hbf,576542245277508977-2605270246-3,RE 21803,RE,2026-05-27T02:58,2026-05-27T02:58,,2026-05-27T02:55,2026-05-27T02:55,,12,,Berlin Friedrichstraße|Berlin Alexanderplatz|Berlin Ostbahnhof|Flughafen BER,,False,
2026-05-27T00:11:37Z,8000080,Düsseldorf Hbf,-5437961507645232165-2605270210-10,S 30202,S,,,,2026-05-27T02:43,2026-05-27T02:43,0.0,6,,,,False,h
2026-05-27T00:11:37Z,8000080,Düsseldorf Hbf,7801539665970674264-2605270013-39,S 30101,S,,,,2026-05-27T02:07,2026-05-27T02:07,0.0,7,,,,False,
2026-05-27T00:11:37Z,8000080,Düsseldorf Hbf,-6448358275020179072-2605270115-6,Bus 3210,Bus,,,,2026-05-27T02:40,2026-05-27T02:40,,,,,,False,
2026-05-27T00:11:37Z,8000080,Düsseldorf Hbf,-8214317746230822278-2605270245-1,NX 26848,NX,2026-05-27T02:45,2026-05-27T02:45,0.0,,,,16,,Bochum Hbf|Wattenscheid|Essen Hbf|Mülheim(Ruhr)Hbf|Duisburg Hbf|Düsseldorf Flughafen|Düsseldorf Hbf|Düsseldorf-Benrath|Leverkusen Mitte|Köln-Mülheim|Köln Messe/Deutz|Köln Hbf,,False,h; h; h; h
2026-05-27T00:11:37Z,8000080,Düsseldorf Hbf,-2143434607092510591-2605270001-19,NX 26843,NX,2026-05-27T02:16,2026-05-27T02:16,0.0,2026-05-27T02:14,2026-05-27T02:14,0.0,8,,Hamm(Westf)Hbf,,False,h; h
2026-05-27T00:11:37Z,8000080,Düsseldorf Hbf,4005400229928334385-2605261659-21,ICE 100,ICE,,,,2026-05-27T02:26,2026-05-27T02:26,0.0,8,,,,False,h
2026-05-27T00:11:37Z,8000080,Düsseldorf Hbf,4584806807655155350-2605270218-1,S 30205,S,2026-05-27T02:18,2026-05-27T02:18,0.0,,,,6,,Dortmund-Dorstfeld|Dortmund-Wischlingen|Dortmund-Huckarde|Dortmund-Westerfilde|Dortmund-Nette/Oestrich|Dortmund-Mengede|Castrop-Rauxel Hbf|Herne,,False,
2026-05-27T00:11:37Z,8000080,Düsseldorf Hbf,-3748706875059726223-2605270006-12,Bus 5906,Bus,,,,2026-05-27T02:15,2026-05-27T02:15,,,,,,False,
2026-05-27T00:11:37Z,8000080,Düsseldorf Hbf,-3300710837786471539-2605270224-1,Bus 1001,Bus,2026-05-27T02:24,2026-05-27T02:24,,,,,,,Dortmund-Scharnhorst|Dortmund-Kurl|Kamen-Methler|Kamen|Bönen-Nordbögge|Hamm(Westf)Hbf,,False,
2026-05-27T00:11:37Z,8000080,Düsseldorf Hbf,-6135772496710160406-2605270303-1,ERB 89910,ERB,2026-05-27T03:03,2026-05-27T03:03,,,,,23,,Bochum Hbf|Essen Hbf|Duisburg Hbf|Düsseldorf Flughafen|Düsseldorf Hbf,,False,h
2026-05-27T00:11:37Z,8000080,Düsseldorf Hbf,-8877680330127742554-2605270219-7,Bus 1000,Bus,,,,2026-05-27T03:37,2026-05-27T03:37,,,,,,False,
2026-05-27T00:11:37Z,8000080,Düsseldorf Hbf,8503777394879306018-2605262323-12,ICE 920,ICE,2026-05-27T03:31,2026-05-27T03:50,19.0,2026-05-27T03:27,2026-05-27T03:47,20.0,16,,Hamm(Westf)Hbf|Münster(Westf)Hbf|Osnabrück Hbf|Diepholz|Bremen Hbf|Hamburg-Harburg|Hamburg Hbf|Hamburg-Altona,Hamm(Westf)Hbf|Münster(Westf)Hbf|Osnabrück Hbf|Diepholz|Bremen Hbf|Hamburg-Harburg|Hamburg Hbf|Hamburg-Altona,False,
2026-05-27T00:11:37Z,8000080,Düsseldorf Hbf,-7506078612137227600-2605270318-1,S 30285,S,2026-05-27T03:18,2026-05-27T03:18,,,,,6,,Dortmund-Dorstfeld|Dortmund-Wischlingen|Dortmund-Huckarde|Dortmund-Westerfilde|Dortmund-Nette/Oestrich|Dortmund-Mengede|Castrop-Rauxel Hbf|Herne|Herne-Wanne-Eickel Hbf,Dortmund-Dorstfeld|Dortmund-Wischlingen|Dortmund-Huckarde|Dortmund-Westerfilde|Dortmund-Nette/Oestrich|Dortmund-Mengede|Castrop-Rauxel Hbf|Herne,False,h
2026-05-27T00:11:37Z,8000080,Düsseldorf Hbf,1851052338316877455-2605270318-2,NX 26800,NX,2026-05-27T03:47,2026-05-27T03:47,,2026-05-27T03:45,2026-05-27T03:45,,11,,Bochum Hbf|Wattenscheid|Essen Hbf|Mülheim(Ruhr)Hbf|Duisburg Hbf|Düsseldorf Flughafen|Düsseldorf Hbf|Düsseldorf-Benrath|Leverkusen Mitte|Köln-Mülheim|Köln Messe/Deutz|Köln Hbf|Köln-Ehrenfeld|Horrem|Düren|Langerwehe|Eschweiler Hbf|Stolberg(Rheinl)Hbf,,False,h; h; h; h
2026-05-27T00:11:37Z,8000080,Düsseldorf Hbf,-7971974136947042684-2605270222-8,NX 26845,NX,,,,2026-05-27T03:14,2026-05-27T03:14,0.0,8,,,,False,h; h; h; h
2026-05-27T00:11:37Z,8000080,Düsseldorf Hbf,-1179624469328304635-2605270314-9,S 30284,S,,,,2026-05-27T03:43,2026-05-27T03:43,,6,,,,False,h
2026-05-27T00:11:37Z,8000080,Düsseldorf Hbf,8784421459811566614-2605270113-39,S 30103,S,,,,2026-05-27T03:07,2026-05-27T03:09,2.0,7,,,,False,
2026-05-27T00:11:37Z,8000080,Düsseldorf Hbf,8665711080315122274-2605270353-1,S 30110,S,2026-05-27T03:53,2026-05-27T03:53,,,,,7,,Dortmund-Dorstfeld|Dortmund-Dorstfeld Süd|Dortmund Universität|Dortmund-Oespel|Dortmund-Kley|Bochum-Langendreer|Bochum-Langendreer West|Bochum Hbf|Bochum-Ehrenfeld|Wattenscheid-Höntrop|Essen-Eiberg|Essen-Steele Ost|Essen-Steele|Essen Hbf|Essen West|Essen-Frohnhausen|Mülheim(Ruhr)Hbf|Mülheim(Ruhr)Styrum|Duisburg Hbf|Duisburg-Schlenk|Duisburg-Buchholz|Duisburg-Großenbaum|Duisburg-Rahm|Angermund|Düsseldorf Flughafen|Düsseldorf-Unterrath|Düsseldorf-Derendorf|Düsseldorf-Zoo|Düsseldorf Wehrhahn|Düsseldorf Hbf|Düsseldorf Volksgarten|Düsseldorf-Oberbilk|Düsseldorf-Eller Mitte|Düsseldorf-Eller|Hilden|Hilden Süd|Solingen Vogelpark|Solingen Hbf,,False,
2026-05-27T00:11:37Z,8000096,Hamburg Hbf,2686007473625185344-2605270001-6,ICE 618,ICE,2026-05-27T02:22,2026-05-27T02:25,3.0,2026-05-27T02:16,2026-05-27T02:17,1.0,10,,Heidelberg Hbf|Mannheim Hbf|Frankfurt(Main)Hbf|Frankfurt(M) Flughafen Fernbf|Siegburg/Bonn|Köln Hbf|Düsseldorf Hbf|Duisburg Hbf|Essen Hbf|Bochum Hbf|Dortmund Hbf|Münster(Westf)Hbf|Osnabrück Hbf|Bremen Hbf|Hamburg-Harburg|Hamburg Hbf|Hamburg-Altona,,False,
2026-05-27T00:11:37Z,8000068,Augsburg Hbf,-5617860749926671396-2605270335-1,S 36600,S,2026-05-27T03:35,2026-05-27T03:35,,,,,3,,Darmstadt-Arheilgen|Darmstadt-Wixhausen|Erzhausen|Egelsbach|Langen(Hess)|Langen-Flugsicherung|Dreieich-Buchschlag|Neu-Isenburg|Frankfurt-Louisa|Frankfurt(M)Stresemannallee|Frankfurt(Main)Süd|Frankfurt(M)Lokalbahnhof|Frankfurt(M)Ostendstraße|Frankfurt(M)Konstablerwache|Frankfurt(M)Hauptwache|Frankfurt(M)Taunusanlage|Frankfurt Hbf (tief),,False,
